title,company,location,job_type,apply_url,source
Freelance Luxury Brand Evaluator- Secret Assesor - Nepal,Cxg,Remote,Full-time,https://jobs.workable.com/view/qbJEzueL1s1DFC9wdtjTSx/hybrid-freelance-luxury-brand-evaluator--secret-assesor---nepal-in-banepa-at-cxg,Workable
Head of Quality & Service Excellence,Cloudfactory,Remote,Full-time,https://jobs.workable.com/view/7DoEVAouk8Z7Wq7NsJXjnR/hybrid-head-of-quality-%26-service-excellence-in-kathmandu-at-cloudfactory,Workable
Regional Technical Advisor - Climate Resilient WASH,Wateraid,Remote,Full-time,https://jobs.workable.com/view/1Uf8GQpo31SL6Pndhm2ZXg/hybrid-regional-technical-advisor---climate-resilient-wash-in-kathmandu-at-wateraid,Workable
Site Reliability Engineer,Cloudfactory,Remote,Full-time,https://jobs.workable.com/view/3GB9sWUSQTqZR1torJtMGm/hybrid-site-reliability-engineer-in-kathmandu-at-cloudfactory,Workable
Senior Data Scientist,Cloudfactory,Remote,Full-time,https://jobs.workable.com/view/5s2LKQUaZpjMQEQtV4gsdx/hybrid-senior-data-scientist-in-kathmandu-at-cloudfactory,Workable
QA Engineer (Manual Testing),Covergo,Remote,Full-time,https://jobs.workable.com/view/uZnyqUrXS5B5K36TpRWNWT/remote-qa-engineer-(manual-testing)-in-lalitpur-at-covergo,Workable
QA Engineer (Manual Testing),Covergo,Remote,Full-time,https://jobs.workable.com/view/7YpGydHBrWzkMkoKRah9CV/remote-qa-engineer-(manual-testing)-in-kathmandu-at-covergo,Workable
Senior Global Payroll Operations Manager,Cloudfactory,Remote,Full-time,https://jobs.workable.com/view/mFKqgwYNjwMbdePaiSxYxQ/hybrid-senior-global-payroll-operations-manager-in-kathmandu-at-cloudfactory,Workable
Paid Ads Specialist,Blys,Remote,Full-time,https://jobs.workable.com/view/9jYztZroPc22CrJRsqLUjV/paid-ads-specialist-in-lalitpur-at-blys,Workable
Senior Software QA Engineer (Manual Testing),Covergo,Remote,Full-time,https://jobs.workable.com/view/9Rft4mtDyCy6Nh8etH9hM3/remote-senior-software-qa-engineer-(manual-testing)-in-kathmandu-at-covergo,Workable
